cfb_school,nces_name,processed_date,latitude,longitude,avg_temperature_2m,avg_humidity_2m,avg_wind_speed_10m,avg_wind_direction_10m,total_precipitation,avg_weather_code,weather_data_points
Abilene Christian,Abilene Christian University,2025-10-24T01:07:19.903300,32.468943,-99.709797,23.44102564102564,48.399698340874814,13.915686274509804,169.7083961789844,123.0,3.948717948717949,1989
Air Force,United States Air Force Academy,2025-10-24T01:07:19.903300,39.010957,-104.891358,11.915937657114128,40.88939165409754,9.117998994469582,195.7114127702363,72.9,6.108094519859225,1989
Akron,University of Akron Main Campus,2025-10-24T01:07:19.903300,41.078551,-81.511679,14.648567119155354,65.85067873303167,12.150678733031675,211.03670186023126,278.8,12.285570638511816,1989
Alabama,The University of Alabama,2025-10-24T01:07:19.903300,33.211875,-87.545978,21.834590246354953,62.37958773252891,9.149270990447462,162.78833584715937,258.3,6.263448969331322,1989
Alabama A&M,Alabama A & M University,2025-10-24T01:07:19.903300,34.783368,-86.568502,19.5420814479638,63.39366515837104,10.369683257918552,185.23780794369029,189.5,6.988939165409754,1989
Alabama State,Alabama State University,2025-10-24T01:07:19.903300,32.364317,-86.295677,22.359225741578683,61.959276018099544,10.264454499748618,169.5656108597285,244.5,6.067873303167421,1989
Albany,SUNY at Albany,2025-10-24T01:07:19.903300,42.685489,-73.824662,13.055756661639016,65.00251382604324,9.56163901458019,218.66616390145802,250.1,9.452991452991453,1989
Alcorn State,Alcorn State University,2025-10-24T01:07:19.903300,31.877216,-91.142854,23.097938662644548,62.36098541980895,9.930065359477124,153.166918049271,199.2,6.227249874308698,1989
Appalachian State,Appalachian State University,2025-10-24T01:07:19.903300,36.215536,-81.680583,13.528607340372046,69.23931623931624,11.445299145299145,218.3986928104575,505.5,12.720462543991955,1989
Arizona,University of Arizona,2025-10-24T01:07:19.903300,32.232672,-110.950815,25.250879839115132,26.045751633986928,7.808396178984414,179.48818501759678,31.3,1.9240824534942182,1989
Arizona State,Arizona State University Campus Immersion,2025-10-24T01:07:19.903300,33.417721,-111.934383,26.966968325791857,24.23479135243841,8.080392156862745,171.67521367521368,12.4,1.2433383609854198,1989
Arkansas,University of Arkansas,2025-10-24T01:07:19.903300,36.070009,-94.176981,18.73046757164404,59.89240824534942,10.839718451483158,165.53645047762694,200.5,6.0965309200603315,1989
Arkansas State,Arkansas State University,2025-10-24T01:07:19.903300,35.842388,-90.679988,19.328808446455504,64.48667672197084,11.441679235796883,151.5656108597285,322.3,7.341377576671694,1989
Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,2025-10-24T01:07:19.903300,34.244031,-92.018683,21.12423328305681,62.536953242835594,10.240623428858722,130.9597787833082,311.8,7.563097033685269,1989
Army,United States Military Academy,2025-10-24T01:07:19.903300,41.390479,-73.956603,14.789039718451484,61.57516339869281,10.513071895424837,221.04575163398692,186.6,8.275515334338865,1989
Auburn,Auburn University,2025-10-24T01:07:19.903300,32.599378,-85.488258,21.47621920563097,62.23831070889894,10.414328808446454,160.61789844142785,348.7,7.124183006535947,1989
Austin Peay,Austin Peay State University,2025-10-24T01:07:19.903300,36.533319,-87.354081,18.975314228255407,62.36902966314731,9.968526897938663,174.28406234288587,303.4,8.386626445449975,1989
BYU,Brigham Young University-Provo,2025-10-24T01:07:19.903300,40.250851,-111.649281,14.132679738562093,46.85570638511815,6.102212166918049,182.8562091503268,128.8,7.905982905982906,1989
Ball State,Ball State University,2025-10-24T01:07:19.903300,40.203431,-85.409043,15.329311211664153,63.465057817998996,13.858320764203118,200.83961789844142,219.6,10.352941176470589,1989
Baylor,Baylor University,2025-10-24T01:07:19.903300,31.546872,-97.121041,24.886978381096025,51.820010055304174,12.313323278029161,162.67772750125692,236.7,5.9663147310206135,1989
Bethune Cookman,Bethune-Cookman University,2025-10-24T01:07:19.903300,29.207195,-81.032946,24.29819004524887,73.49622926093514,12.776872800402213,140.33634992458522,528.2,18.267471091000502,1989
Boise State,Boise State University,2025-10-24T01:07:19.903300,43.604284,-116.203301,14.523177476118653,48.27551533433886,9.056309703368527,213.88436400201107,65.9,5.165409753645048,1989
Boston College,Boston College,2025-10-24T01:07:19.903300,42.336213,-71.169242,13.653293112116643,64.2146807440925,12.644746103569634,208.9492207139266,215.2,7.610859728506787,1989
Bowling Green,Bowling Green State University-Main Campus,2025-10-24T01:07:19.903300,41.375513,-83.640896,15.299346405228759,61.58722976370035,14.620160884866767,204.65057817998994,152.1,8.799899446958271,1989
Bryant,Bryant University,2025-10-24T01:07:19.903300,41.920092,-71.539547,13.648768225238815,64.39265962795375,12.027853192559075,202.9894419306184,239.5,7.588235294117647,1989
Bucknell,Bucknell University,2025-10-24T01:07:19.903300,40.954317,-76.882616,14.388637506284566,64.61538461538461,9.006737053795877,198.7652086475616,213.9,9.093514328808446,1989
Buffalo,University at Buffalo,2025-10-24T01:07:19.903300,43.000942,-78.789458,13.399698340874812,69.6078431372549,12.457466063348416,207.94117647058823,324.2,13.258924082453495,1989
Cal Poly SLO,California Polytechnic State University-San Luis Obispo,2025-10-24T01:07:19.903300,35.299513,-120.657311,18.811664152840624,57.74308697838109,7.993262946204123,184.7144293614882,73.1,2.8250377073906487,1989
California,University of California-Berkeley,2025-10-24T01:07:19.903300,37.871918,-122.260463,16.965258924082455,66.19658119658119,10.24957264957265,184.49120160884866,160.9,6.180995475113122,1989
Campbell,Campbell University,2025-10-24T01:07:19.903300,35.409149,-78.738238,18.917295123177475,67.57214680744093,10.61256913021619,157.45751633986927,276.9,8.416792357968829,1989
Central Arkansas,University of Central Arkansas,2025-10-24T01:07:19.903300,35.077945,-92.457672,20.39693313222725,63.51885369532428,9.54997486173957,149.62644544997485,253.5,6.587229763700352,1989
Central Conn. State,Central Connecticut State University,2025-10-24T01:07:19.903300,41.692502,-72.765991,14.58466566113625,60.56158873805933,10.092006033182503,198.36601307189542,177.7,7.588738059326294,1989
Central Michigan,Central Michigan University,2025-10-24T01:07:19.903300,43.591203,-84.77525,13.447812971342383,63.8034188034188,12.593464052287583,208.28054298642533,140.3,8.734539969834087,1989
Charleston Southern,Charleston Southern University,2025-10-24T01:07:19.903300,32.983047,-80.072587,21.334640522875816,68.24886877828054,11.408848667672197,143.92257415786827,369.5,10.856209150326798,1989
Charlotte,University of North Carolina at Charlotte,2025-10-24T01:07:19.903300,35.306022,-80.730919,18.69009552538964,63.59276018099548,9.448114630467572,157.16038210155858,316.8,8.881347410759176,1989
Chattanooga,The University of Tennessee-Chattanooga,2025-10-24T01:07:19.903300,35.047519,-85.300247,19.397435897435898,64.21820010055305,8.558270487682254,161.48265460030166,186.4,7.038712921065862,1989
Cincinnati,University of Cincinnati-Main Campus,2025-10-24T01:07:19.903300,39.131159,-84.51428,16.655354449472096,62.48366013071895,10.63097033685269,193.9281045751634,271.3,9.943187531422826,1989
Citadel,Citadel Military College of South Carolina,2025-10-24T01:07:19.903300,32.797183,-79.958775,21.22845651080945,71.78733031674209,12.795575666163902,148.32227249874308,326.7,11.62041226747109,1989
Clemson,Clemson University,2025-10-24T01:07:19.903300,34.679381,-82.835114,19.58034188034188,62.88034188034188,9.24534942182001,148.1352438411262,233.1,7.660130718954249,1989
Coastal Carolina,Coastal Carolina University,2025-10-24T01:07:19.903300,33.794995,-79.011767,20.497938662644547,69.105580693816,10.74007038712921,155.33685268979386,428.1,11.22875816993464,1989
Colgate,Colgate University,2025-10-24T01:07:19.903300,42.819475,-75.536346,11.616189039718451,72.20010055304174,12.990296631473102,226.14328808446456,257.4,14.518350930115636,1989
