cfb_school,nces_name,processed_date,latitude,longitude
Holy Cross,College of the Holy Cross,2025-10-24T01:07:19.903300,42.23752,-71.808214
Houston,University of Houston,2025-10-24T01:07:19.903300,29.720393,-95.343537
Houston Baptist,Houston Baptist University,2025-10-24T01:07:19.903300,29.693819,-95.515954
Houston Christian,Houston Baptist University,2025-10-24T01:07:19.903300,29.693819,-95.515954
Howard,Howard University,2025-10-24T01:07:19.903300,38.922392,-77.018966
Idaho,University of Idaho,2025-10-24T01:07:19.903300,46.727406,-117.014167
Idaho State,Idaho State University,2025-10-24T01:07:19.903300,42.863832,-112.432312
Illinois,University of Illinois at Urbana-Champaign,2025-10-24T01:07:19.903300,40.104718,-88.229114
Illinois State,Illinois State University,2025-10-24T01:07:19.903300,40.509403,-88.990058
Incarnate Word,University of the Incarnate Word,2025-10-24T01:07:19.903300,29.46708,-98.46583
Indiana,Indiana University-Bloomington,2025-10-24T01:07:19.903300,39.16609,-86.526559
Indiana State,Indiana State University,2025-10-24T01:07:19.903300,39.469073,-87.407846
Iowa,University of Iowa,2025-10-24T01:07:19.903300,41.661935,-91.536425
Iowa State,Iowa State University,2025-10-24T01:07:19.903300,42.026212,-93.648504
Jackson State,Jackson State University,2025-10-24T01:07:19.903300,32.296105,-90.207405
Jacksonville State,Jacksonville State University,2025-10-24T01:07:19.903300,33.822938,-85.765321
James Madison,James Madison University,2025-10-24T01:07:19.903300,38.436311,-78.870484
Kansas,University of Kansas,2025-10-24T01:07:19.903300,38.958549,-95.247567
Kansas State,Kansas State University,2025-10-24T01:07:19.903300,39.188648,-96.581077
Kennesaw State,Kennesaw State University,2025-10-24T01:07:19.903300,34.038807,-84.583052
Kent State,Kent State University at Kent,2025-10-24T01:07:19.903300,41.146653,-81.342533
Kentucky,University of Kentucky,2025-10-24T01:07:19.903300,38.038911,-84.504747
LIU,Long Island University,2025-10-24T01:07:19.903300,40.820714,-73.593678
LSU,Louisiana State University and Agricultural & Mechanical College,2025-10-24T01:07:19.903300,30.414986,-91.178921
Lafayette,Lafayette College,2025-10-24T01:07:19.903300,40.69956,-75.209786
Lamar,Lamar University,2025-10-24T01:07:19.903300,30.042738,-94.072244
Lehigh,Lehigh University,2025-10-24T01:07:19.903300,40.606822,-75.380236
Liberty,Liberty University,2025-10-24T01:07:19.903300,37.350232,-79.18222
Lindenwood,Lindenwood University,2025-10-24T01:07:19.903300,38.785425,-90.501286
Louisiana Tech,Louisiana Tech University,2025-10-24T01:07:19.903300,32.528297,-92.649963
Louisville,University of Louisville,2025-10-24T01:07:19.903300,38.216862,-85.760412
Maine,University of Maine,2025-10-24T01:07:19.903300,44.899257,-68.669332
Marshall,Marshall University,2025-10-24T01:07:19.903300,38.422482,-82.428964
Maryland,University of Maryland-College Park,2025-10-24T01:07:19.903300,38.988178,-76.944721
Massachusetts,University of Massachusetts-Amherst,2025-10-24T01:07:19.903300,42.385999,-72.526728
McNeese State,McNeese State University,2025-10-24T01:07:19.903300,30.178187,-93.217222
Memphis,University of Memphis,2025-10-24T01:07:19.903300,35.118878,-89.938068
Mercer,Mercer University,2025-10-24T01:07:19.903300,32.831787,-83.648295
Merrimack,Merrimack College,2025-10-24T01:07:19.903300,42.668344,-71.124216
Miami (FL),University of Miami,2025-10-24T01:07:19.903300,25.72126,-80.278662
Miami (OH),Miami University-Oxford,2025-10-24T01:07:19.903300,39.507757,-84.732954
Michigan,University of Michigan-Ann Arbor,2025-10-24T01:07:19.903300,42.275921,-83.742769
Michigan State,Michigan State University,2025-10-24T01:07:19.903300,42.73212,-84.476111
Middle Tennessee,Middle Tennessee State University,2025-10-24T01:07:19.903300,35.848005,-86.360618
Minnesota,University of Minnesota-Twin Cities,2025-10-24T01:07:19.903300,44.972851,-93.235464
Mississippi State,Mississippi State University,2025-10-24T01:07:19.903300,33.454852,-88.790139
Mississippi Valley State,Mississippi Valley State University,2025-10-24T01:07:19.903300,33.514142,-90.341274
Missouri,University of Missouri-Columbia,2025-10-24T01:07:19.903300,38.94531,-92.328843
Missouri State,Missouri State University-Springfield,2025-10-24T01:07:19.903300,37.199258,-93.281281
Monmouth,Monmouth University,2025-10-24T01:07:19.903300,40.280066,-74.006447
